################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4040298759014739E-01 a       161     0     7     1    11
  2.2977650350990150E-01 a       162     0     7     1    12
  4.0319542394880109E-01 a       163     0     7     1    13
 -5.4807670634913166E-02 a       164     0     7     1    14
 -4.4790516739440078E-01 a       165     0     7     1    15
  1.6423757426205979E-01 a       166     0     7     1    16
  6.7430542598974727E-02 a       167     0     7     1    17
  4.9530981010111519E-01 a       168     0     7     1    18
 -1.4678261748093264E-02 a       169     0     7     1    19
  3.0700519074907617E-01 a       170     0     7     1    20
  6.2015731046415834E-01 a       171     0     7     1    21
 -2.4306696485595032E-02 a       172     0     7     1    22
 -6.4765597555644250E-03 a       173     0     7     1    23
 -5.2491270705377757E-01 a       174     0     7     1    24
  9.1763742501073470E-02 a       175     0     7     1    25
 -1.0755343872571019E-01 a       176     0     8     1     1
 -6.9703435775173267E-02 a       177     0     8     1     2
  4.8197741260343215E-02 a       178     0     8     1     3
 -1.5404460592144503E-01 a       179     0     8     1     4
  8.4070850072595765E-03 a       180     0     8     1     5
  2.5672875926656281E-02 a       181     0     8     1     6
  1.1680113827545623E-01 a       182     0     8     1     7
 -7.2383394278443106E-02 a       183     0     8     1     8
 -1.2141442670954318E-01 a       184     0     8     1     9
  2.7002411992629406E-02 a       185     0     8     1    10
 -9.2946215909127331E-03 a       186     0     8     1    11
 -7.3720422044013828E-02 a       187     0     8     1    12
 -2.1865031728169702E-02 a       188     0     8     1    13
  5.3453298636910182E-03 a       189     0     8     1    14
  4.5471458354471299E-02 a       190     0     8     1    15
 -7.9417498277713106E-02 a       191     0     8     1    16
  2.9848425254337632E-02 a       192     0     8     1    17
 -1.6908069469263865E-02 a       193     0     8     1    18
 -8.0315132600268888E-02 a       194     0     8     1    19
  6.7625027843589661E-02 a       195     0     8     1    20
 -1.0251654830867052E-01 a       196     0     8     1    21
 -1.6377816234726766E-02 a       197     0     8     1    22
  4.7126489383448482E-02 a       198     0     8     1    23
  6.6317107406711859E-02 a       199     0     8     1    24
  5.4330557210524037E-02 a       200     0     8     1    25
  8.7957321876570627E-01 a       201     0     9     1     1
 -2.8939208311979991E-01 a       202     0     9     1     2
 -1.0228908137464980E+00 a       203     0     9     1     3
 -9.1197645349968035E-02 a       204     0     9     1     4
 -2.7012993356593762E-01 a       205     0     9     1     5
  1.8480556520625673E+00 a       206     0     9     1     6
  6.3339591582117327E-01 a       207     0     9     1     7
  3.0246302094682833E+00 a       208     0     9     1     8
 -3.7217544716849424E+00 a       209     0     9     1     9
 -5.9181070126045809E-01 a       210     0     9     1    10
  3.2091174939219747E-01 a       211     0     9     1    11
 -1.3892595966970653E+00 a       212     0     9     1    12
  2.1967515976946328E+00 a       213     0     9     1    13
 -3.0405119423229658E+00 a       214     0     9     1    14
  3.8643828647106393E-01 a       215     0     9     1    15
  1.4961676057154631E+00 a       216     0     9     1    16
 -1.7158239106821267E+00 a       217     0     9     1    17
  1.0674430976425018E+00 a       218     0     9     1    18
 -4.4001223162482578E-01 a       219     0     9     1    19
  3.8033259192289233E+00 a       220     0     9     1    20
 -7.1190716851736904E-02 a       221     0     9     1    21
  2.7039059543667747E+00 a       222     0     9     1    22
  2.8229343235878610E+00 a       223     0     9     1    23
 -2.5562192185863331E+00 a       224     0     9     1    24
  7.5116409947012819E-01 a       225     0     9     1    25
  1.4680745900613597E+00 a       226     0    10     1     1
 -3.9551198694293016E-01 a       227     0    10     1     2
  1.5163744584821870E+00 a       228     0    10     1     3
  3.9979546845228237E-01 a       229     0    10     1     4
 -1.0091220682443307E+00 a       230     0    10     1     5
 -5.3618447499250612E+00 a       231     0    10     1     6
  8.9476422894438870E-02 a       232     0    10     1     7
  1.0457478226749615E+00 a       233     0    10     1     8
  1.6764939113498345E-01 a       234     0    10     1     9
 -1.4836068657910334E-01 a       235     0    10     1    10
  6.1816000120004422E-01 a       236     0    10     1    11
  2.3708444195963119E+00 a       237     0    10     1    12
  1.3900227049068223E-01 a       238     0    10     1    13
  1.4699563828018929E+00 a       239     0    10     1    14
  1.3161273815264904E-01 a       240     0    10     1    15
 -1.5659079354132390E+00 a       241     0    10     1    16
  2.0357168077571601E+00 a       242     0    10     1    17
  1.3293247121818963E-01 a       243     0    10     1    18
