################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.4862274325566348E-02 a       195     0     8     1    20
  4.6732058269118729E-03 a       196     0     8     1    21
  1.6812236897865841E-04 a       197     0     8     1    22
 -2.1032651665564471E-02 a       198     0     8     1    23
  1.4557949098013076E-02 a       199     0     8     1    24
 -4.9804949581664287E-02 a       200     0     8     1    25
 -9.7534695259835580E-01 a       201     0     9     1     1
  1.0501785226099155E+01 a       202     0     9     1     2
 -4.3999894724388672E-01 a       203     0     9     1     3
 -1.9917509405757247E-04 a       204     0     9     1     4
  1.3120387592803917E+00 a       205     0     9     1     5
 -2.2733118670559831E+00 a       206     0     9     1     6
 -1.8879372475451986E-01 a       207     0     9     1     7
  1.9465385581353523E+00 a       208     0     9     1     8
 -6.1356654700317947E-01 a       209     0     9     1     9
 -1.9387995846998991E+00 a       210     0     9     1    10
  1.6476207281130393E+00 a       211     0     9     1    11
 -7.6071274810889715E+00 a       212     0     9     1    12
  4.2992953823383689E-01 a       213     0     9     1    13
  1.8958894236337571E+00 a       214     0     9     1    14
 -5.4849636496923662E+00 a       215     0     9     1    15
  1.3044987830382722E+00 a       216     0     9     1    16
  1.0060108133057706E+00 a       217     0     9     1    17
  2.0990590898996540E+00 a       218     0     9     1    18
  4.4790622995082101E+00 a       219     0     9     1    19
 -3.7742587506659260E+00 a       220     0     9     1    20
  2.8570147017286263E-01 a       221     0     9     1    21
  3.8859380316401965E-01 a       222     0     9     1    22
 -7.2654541760502467E-01 a       223     0     9     1    23
 -1.7598273511083120E+00 a       224     0     9     1    24
  4.2542054803758242E+00 a       225     0     9     1    25
  1.8505793603799794E+00 a       226     0    10     1     1
 -4.1671771427949915E+00 a       227     0    10     1     2
  1.9303406597307207E+00 a       228     0    10     1     3
 -5.6785475189681422E+00 a       229     0    10     1     4
 -6.7527941741035857E-01 a       230     0    10     1     5
 -1.4905308637089387E+00 a       231     0    10     1     6
 -7.3444376648187715E-01 a       232     0    10     1     7
 -1.8117164928326033E+00 a       233     0    10     1     8
 -1.0876196176301440E+00 a       234     0    10     1     9
 -8.1279240009878934E-02 a       235     0    10     1    10
 -4.6451286428988006E+00 a       236     0    10     1    11
  4.5731610497171997E-02 a       237     0    10     1    12
  5.3483942159072462E-01 a       238     0    10     1    13
 -1.2289966361412696E-01 a       239     0    10     1    14
  1.0610208299759638E+00 a       240     0    10     1    15
 -1.3183440017196538E-01 a       241     0    10     1    16
  6.9350428984388968E-01 a       242     0    10     1    17
 -6.7277289970166210E-01 a       243     0    10     1    18
 -4.3593889039334668E+00 a       244     0    10     1    19
  4.3151960013912314E+00 a       245     0    10     1    20
  1.7720759712356313E-01 a       246     0    10     1    21
  2.2564562167547925E-01 a       247     0    10     1    22
  2.0385053948294458E+00 a       248     0    10     1    23
  3.2082544515467299E+00 a       249     0    10     1    24
  6.1668348718600434E+00 a       250     0    10     1    25
  2.0954082317889586E+00 a       251     0    11     1     1
 -5.6202549370233550E+00 a       252     0    11     1     2
  9.0504376186595403E-01 a       253     0    11     1     3
  5.1351990230750530E+00 a       254     0    11     1     4
 -2.8323270064972448E+00 a       255     0    11     1     5
  2.3521592957164077E+00 a       256     0    11     1     6
  1.2943054011533011E+00 a       257     0    11     1     7
 -5.3152862102416065E-01 a       258     0    11     1     8
  9.8559379072799813E-01 a       259     0    11     1     9
  3.3190331774173427E+00 a       260     0    11     1    10
 -7.5201156093672783E-01 a       261     0    11     1    11
  9.2108095876364633E+00 a       262     0    11     1    12
  2.7000589404437108E+00 a       263     0    11     1    13
 -2.4041322085483787E+00 a       264     0    11     1    14
  1.8276470989738067E+00 a       265     0    11     1    15
  1.2148221033431770E+00 a       266     0    11     1    16
  5.1963960156107603E-01 a       267     0    11     1    17
 -1.5108018031169150E+00 a       268     0    11     1    18
  2.1595776885040956E+00 a       269     0    11     1    19
  8.2768764673402218E-02 a       270     0    11     1    20
 -1.0693146865424428E+00 a       271     0    11     1    21
 -1.1728307734935850E+00 a       272     0    11     1    22
 -1.0979049624100135E+00 a       273     0    11     1    23
 -1.1943167302187034E+00 a       274     0    11     1    24
 -1.3021976311466691E+01 a       275     0    11     1    25
 -2.0373333761974712E+00 a       276     0    12     1     1
 -4.4080064400181138E+00 a       277     0    12     1     2
 -5.1185808832682760E+00 a       278     0    12     1     3
  7.2786421157542924E-01 a       279     0    12     1     4
  1.9006958769249582E+00 a       280     0    12     1     5
  4.9872061023201226E+00 a       281     0    12     1     6
  3.2085376431163676E-01 a       282     0    12     1     7
